aluno_id,frequencia_semanal,tipo_plano,total_checkins,recency_days
6114,1,1,3,43.0
4790,1,1,4,22.0
273,1,2,4,5.0
3936,3,2,4,20.0
5761,6,3,6,4.0
5468,3,3,10,5.0
7662,1,1,2,36.0
4326,1,3,9,17.0
2520,5,2,5,19.0
2466,1,3,0,
9038,1,1,4,72.0
5697,1,2,9,11.0
4321,5,2,7,13.0
1750,6,3,3,51.0
5230,5,1,5,21.0
176,3,1,10,44.0
576,1,1,10,3.0
4993,6,3,0,
9719,5,3,4,91.0
6373,3,3,1,103.0
4976,5,2,1,147.0
1003,6,2,10,2.0
292,1,2,8,22.0
7984,5,2,8,47.0
2784,5,1,8,18.0
1552,3,1,10,24.0
5001,6,2,5,59.0
5038,3,3,3,0.0
1811,2,2,8,6.0
2204,6,1,0,
1373,6,1,0,
764,6,2,2,93.0
3762,4,1,10,4.0
4116,1,3,7,23.0
1268,2,1,3,83.0
2749,1,3,6,25.0
173,6,2,2,21.0
161,2,3,7,0.0
3202,4,1,5,50.0
8057,5,2,3,27.0
6905,2,2,6,16.0
7499,4,1,6,26.0
9612,4,2,1,61.0
1595,4,2,3,37.0
8428,4,2,1,161.0
4519,3,3,0,
8869,6,1,1,136.0
4611,6,3,1,50.0
4095,6,3,10,19.0
4289,1,3,1,72.0
2990,1,2,6,41.0
8873,1,3,3,18.0
815,2,2,0,
8660,1,3,10,22.0
3150,3,1,6,24.0
2054,1,1,6,2.0
6127,2,1,10,34.0
2702,1,2,10,61.0
8724,5,2,1,155.0
3071,6,3,9,22.0
8457,3,3,2,72.0
4452,6,3,10,19.0
2721,1,3,8,4.0
5604,2,3,1,101.0
9720,1,2,9,0.0
8228,3,2,6,42.0
3834,6,1,6,4.0
824,6,1,4,92.0
5719,2,3,7,14.0
9306,1,3,3,41.0
6861,2,1,9,6.0
5644,1,1,2,83.0
357,3,1,7,5.0
2366,5,3,0,
4634,2,3,3,18.0
769,5,2,10,12.0
266,4,3,2,20.0
2543,1,1,6,38.0
1287,3,1,0,
1550,2,3,4,3.0
6258,5,3,2,24.0
6775,1,3,5,2.0
3840,1,3,6,84.0
366,6,1,6,3.0
307,1,2,4,6.0
3199,6,1,9,0.0
6445,3,1,4,0.0
4078,6,1,3,72.0
91,2,1,8,0.0
5436,2,1,7,8.0
8630,5,3,3,55.0
9362,2,2,7,12.0
6458,6,2,9,7.0
7064,4,1,7,1.0
9491,3,3,7,38.0
7946,4,1,10,13.0
743,4,2,2,54.0
3986,5,1,10,5.0
10,5,1,9,5.0
1940,1,2,2,83.0
